,templates
13479,"['filter', 'diabetespedigreefunction', 'equal', 'to', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13480,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13481,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13482,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13483,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13484,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13485,"['predictionfilter', 'and', 'labelfilter', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13486,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13487,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13488,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13489,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13490,"['filter', 'age', 'equal', 'to', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13491,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13492,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13493,"['filter', 'insulin', 'greater', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13494,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13495,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13496,"['filter', 'insulin', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13497,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13498,"['filter', 'age', 'greater', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13499,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13500,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13501,"['filter', 'diabetespedigreefunction', 'equal', 'to', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13502,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13503,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13504,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13505,"['filter', 'skinthickness', 'greater', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13506,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13507,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13508,"['filter', 'bmi', 'equal', 'to', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13509,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13510,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13511,"['filter', 'pregnancies', 'greater', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13512,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13513,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13514,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13515,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13516,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13517,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13518,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13519,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13520,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13521,"['labelfilter', 'and', 'predictionfilter', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13522,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13523,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13524,"['labelfilter', 'and', 'predictionfilter', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13525,"['filter', 'glucose', 'equal', 'to', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13526,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13527,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13528,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13529,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13530,"['filter', 'skinthickness', 'equal', 'to', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13531,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13532,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13533,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13534,"['filter', 'bmi', 'less', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13535,"['filter', 'age', 'greater', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13536,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13537,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13538,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13539,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13540,"['filter', 'age', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13541,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13542,"['filter', 'age', 'not', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13543,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13544,"['filter', 'bmi', 'equal', 'to', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13545,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13546,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13547,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13548,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13549,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13550,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13551,"['filter', 'age', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13552,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13553,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13554,"['predictionfilter', 'and', 'labelfilter', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13555,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13556,"['filter', 'glucose', 'equal', 'to', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13557,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13558,"['filter', 'glucose', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13559,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13560,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13561,"['filter', 'bmi', 'greater', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13562,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13563,"['filter', 'insulin', 'equal', 'to', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13564,"['predictionfilter', 'and', 'labelfilter', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13565,"['filter', 'age', 'not', 'equal', 'to', 'and', 'change', 'diabetespedigreefunction', 'increase', 'and', 'predict', '[e]']"
13566,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'change', 'age', 'increase', 'and', 'predict', '[e]']"
13567,"['filter', 'bmi', 'equal', 'to', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13568,"['filter', 'id', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13569,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13570,"['predictionfilter', 'and', 'labelfilter', 'unlikely', 'to', 'have', 'diabetes', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13571,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13572,"['filter', 'id', 'and', 'change', 'insulin', 'increase', 'and', 'predict', '[e]']"
13573,"['labelfilter', 'and', 'predictionfilter', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13574,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13575,"['filter', 'insulin', 'equal', 'to', 'and', 'change', 'glucose', 'increase', 'and', 'predict', '[e]']"
13576,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13577,"['filter', 'age', 'less', 'than', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13578,"['filter', 'pregnancies', 'less', 'than', 'and', 'change', 'bloodpressure', 'increase', 'and', 'predict', '[e]']"
13579,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13580,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13581,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13582,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'change', 'bmi', 'increase', 'and', 'predict', '[e]']"
13583,"['filter', 'glucose', 'equal', 'to', 'and', 'change', 'skinthickness', 'increase', 'and', 'predict', '[e]']"
13584,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'change', 'pregnancies', 'increase', 'and', 'predict', '[e]']"
13585,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13586,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13587,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13588,"['filter', 'id', 'and', 'predict', 'and', 'explain', 'cfe', '[e]']"
13589,"['filter', 'id', 'and', 'explain', 'features', 'and', 'explain', 'cfe', '[e]']"
13590,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13591,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13592,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13593,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13594,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13595,"['filter', 'id', 'and', 'explain', 'cfe', '[e]']"
13596,"['self', '[e]']"
13597,"['self', '[e]']"
13598,"['self', 'and', 'function', '[e]']"
13599,"['self', 'and', 'function', '[e]']"
13600,"['self', '[e]']"
13601,"['self', 'and', 'function[e]']"
13602,"['function', '[e]']"
13603,"['function', '[e]']"
13604,"['self', 'and', 'function', '[e]']"
13605,"['self', '[e]']"
13606,"['function', '[e]']"
13607,"['function', '[e]']"
13608,"['model', '[e]']"
13609,"['model', '[e]']"
13610,"['model', '[e]']"
13611,"['self', 'and', 'function', 'and', 'data', '[e]']"
13612,"['function', 'and', 'data', '[e]']"
13613,"['followup', '[e]']"
13614,"['followup', '[e]']"
13615,"['followup', '[e]']"
13616,"['followup', '[e]']"
13617,"['followup', '[e]']"
13618,"['followup', '[e]']"
13619,"['followup', '[e]']"
13620,"['followup', '[e]']"
13621,"['followup', '[e]']"
13622,"['followup', '[e]']"
13623,"['followup', '[e]']"
13624,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13625,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13626,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13627,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13628,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13629,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13630,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13631,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13632,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13633,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13634,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13635,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13636,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13637,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13638,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13639,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13640,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13641,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13642,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13643,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13644,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13645,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13646,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13647,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13648,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13649,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13650,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13651,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13652,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13653,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13654,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13655,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'interact', '[e]']"
13656,"['interact', '[e]']"
13657,"['interact', '[e]']"
13658,"['interact', '[e]']"
13659,"['interact', '[e]']"
13660,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'interact', '[e]']"
13661,"['filter', 'glucose', 'greater', 'than', 'and', 'interact', '[e]']"
13662,"['filter', 'insulin', 'greater', 'than', 'and', 'interact', '[e]']"
13663,"['filter', 'glucose', 'greater', 'than', 'and', 'interact', '[e]']"
13664,"['filter', 'bmi', 'greater', 'than', 'and', 'interact', '[e]']"
13665,"['filter', 'pregnancies', 'greater', 'than', 'and', 'interact', '[e]']"
13666,"['filter', 'bmi', 'greater', 'than', 'and', 'interact', '[e]']"
13667,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'interact', '[e]']"
13668,"['filter', 'age', 'greater', 'than', 'and', 'interact', '[e]']"
13669,"['filter', 'skinthickness', 'greater', 'than', 'and', 'interact', '[e]']"
13670,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'interact', '[e]']"
13671,"['filter', 'age', 'greater', 'than', 'and', 'interact', '[e]']"
13672,"['filter', 'skinthickness', 'greater', 'than', 'and', 'interact', '[e]']"
13673,"['filter', 'insulin', 'greater', 'than', 'and', 'interact', '[e]']"
13674,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'interact', '[e]']"
13675,"['filter', 'pregnancies', 'greater', 'than', 'and', 'interact', '[e]']"
13676,"['filter', 'bmi', 'less', 'than', 'and', 'likelihood', '[e]']"
13677,"['filter', 'bmi', 'less', 'than', 'and', 'likelihood', '[e]']"
13678,"['filter', 'pregnancies', 'less', 'than', 'and', 'likelihood', '[e]']"
13679,"['filter', 'bmi', 'less', 'than', 'and', 'likelihood', '[e]']"
13680,"['filter', 'bloodpressure', 'less', 'than', 'and', 'likelihood', '[e]']"
13681,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'likelihood', '[e]']"
13682,"['filter', 'age', 'less', 'than', 'and', 'likelihood', '[e]']"
13683,"['filter', 'glucose', 'less', 'than', 'and', 'likelihood', '[e]']"
13684,"['filter', 'age', 'less', 'than', 'and', 'likelihood', '[e]']"
13685,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'likelihood', '[e]']"
13686,"['filter', 'bmi', 'less', 'than', 'and', 'likelihood', '[e]']"
13687,"['filter', 'age', 'less', 'than', 'and', 'likelihood', '[e]']"
13688,"['filter', 'skinthickness', 'less', 'than', 'and', 'likelihood', '[e]']"
13689,"['filter', 'insulin', 'less', 'than', 'and', 'likelihood', '[e]']"
13690,"['filter', 'skinthickness', 'less', 'than', 'and', 'likelihood', '[e]']"
13691,"['filter', 'insulin', 'less', 'than', 'and', 'likelihood', '[e]']"
13692,"['filter', 'glucose', 'less', 'than', 'and', 'likelihood', '[e]']"
13693,"['filter', 'bloodpressure', 'less', 'than', 'and', 'likelihood', '[e]']"
13694,"['filter', 'glucose', 'less', 'than', 'and', 'likelihood', '[e]']"
13695,"['filter', 'skinthickness', 'less', 'than', 'and', 'likelihood', '[e]']"
13696,"['filter', 'insulin', 'less', 'than', 'and', 'likelihood', '[e]']"
13697,"['filter', 'pregnancies', 'less', 'than', 'and', 'likelihood', '[e]']"
13698,"['filter', 'age', 'less', 'than', 'and', 'likelihood', '[e]']"
13699,"['filter', 'skinthickness', 'less', 'than', 'and', 'likelihood', '[e]']"
13700,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'likelihood', '[e]']"
13701,"['filter', 'bloodpressure', 'less', 'than', 'and', 'likelihood', '[e]']"
13702,"['filter', 'glucose', 'less', 'than', 'and', 'likelihood', '[e]']"
13703,"['filter', 'pregnancies', 'less', 'than', 'and', 'likelihood', '[e]']"
13704,"['filter', 'bloodpressure', 'less', 'than', 'and', 'likelihood', '[e]']"
13705,"['filter', 'insulin', 'less', 'than', 'and', 'likelihood', '[e]']"
13706,"['filter', 'pregnancies', 'less', 'than', 'and', 'likelihood', '[e]']"
13707,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'likelihood', '[e]']"
13708,"['filter', 'id', 'and', 'likelihood', '[e]']"
13709,"['filter', 'id', 'and', 'likelihood', '[e]']"
13710,"['filter', 'id', 'and', 'likelihood', '[e]']"
13711,"['filter', 'id', 'and', 'likelihood', '[e]']"
13712,"['likelihood', '[e]']"
13713,"['likelihood', '[e]']"
13714,"['filter', 'bmi', 'greater', 'than', 'and', 'likelihood', '[e]']"
13715,"['filter', 'age', 'greater', 'than', 'and', 'likelihood', '[e]']"
13716,"['filter', 'bmi', 'greater', 'than', 'and', 'likelihood', '[e]']"
13717,"['filter', 'insulin', 'greater', 'than', 'and', 'likelihood', '[e]']"
13718,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'likelihood', '[e]']"
13719,"['filter', 'glucose', 'greater', 'than', 'and', 'likelihood', '[e]']"
13720,"['filter', 'skinthickness', 'greater', 'than', 'and', 'likelihood', '[e]']"
13721,"['filter', 'skinthickness', 'greater', 'than', 'and', 'likelihood', '[e]']"
13722,"['filter', 'age', 'greater', 'than', 'and', 'likelihood', '[e]']"
13723,"['filter', 'skinthickness', 'greater', 'than', 'and', 'likelihood', '[e]']"
13724,"['filter', 'glucose', 'greater', 'than', 'and', 'likelihood', '[e]']"
13725,"['filter', 'age', 'greater', 'than', 'and', 'likelihood', '[e]']"
13726,"['filter', 'age', 'greater', 'than', 'and', 'likelihood', '[e]']"
13727,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'likelihood', '[e]']"
13728,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'likelihood', '[e]']"
13729,"['filter', 'glucose', 'greater', 'than', 'and', 'likelihood', '[e]']"
13730,"['filter', 'skinthickness', 'greater', 'than', 'and', 'likelihood', '[e]']"
13731,"['filter', 'pregnancies', 'greater', 'than', 'and', 'likelihood', '[e]']"
13732,"['filter', 'insulin', 'greater', 'than', 'and', 'likelihood', '[e]']"
13733,"['filter', 'insulin', 'greater', 'than', 'and', 'likelihood', '[e]']"
13734,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'likelihood', '[e]']"
13735,"['filter', 'pregnancies', 'greater', 'than', 'and', 'likelihood', '[e]']"
13736,"['filter', 'pregnancies', 'greater', 'than', 'and', 'likelihood', '[e]']"
13737,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'likelihood', '[e]']"
13738,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'likelihood', '[e]']"
13739,"['filter', 'glucose', 'greater', 'than', 'and', 'likelihood', '[e]']"
13740,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'likelihood', '[e]']"
13741,"['filter', 'bmi', 'greater', 'than', 'and', 'likelihood', '[e]']"
13742,"['filter', 'pregnancies', 'greater', 'than', 'and', 'likelihood', '[e]']"
13743,"['filter', 'bmi', 'greater', 'than', 'and', 'likelihood', '[e]']"
13744,"['filter', 'insulin', 'greater', 'than', 'and', 'likelihood', '[e]']"
13745,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'likelihood', '[e]']"
13746,"['likelihood', '[e]']"
13747,"['likelihood', '[e]']"
13748,"['filter', 'id', 'and', 'likelihood', '[e]']"
13749,"['filter', 'id', 'and', 'likelihood', '[e]']"
13750,"['filter', 'id', 'and', 'likelihood', '[e]']"
13751,"['filter', 'id', 'and', 'likelihood', '[e]']"
13752,"['filter', 'id', 'and', 'likelihood', '[e]']"
13753,"['filter', 'id', 'and', 'likelihood', '[e]']"
13754,"['filter', 'id', 'and', 'likelihood', '[e]']"
13755,"['filter', 'id', 'and', 'likelihood', '[e]']"
13756,"['filter', 'id', 'and', 'likelihood', '[e]']"
13757,"['filter', 'id', 'and', 'likelihood', '[e]']"
13758,"['filter', 'id', 'and', 'likelihood', '[e]']"
13759,"['filter', 'id', 'and', 'likelihood', '[e]']"
13760,"['filter', 'id', 'and', 'likelihood', '[e]']"
13761,"['filter', 'id', 'and', 'likelihood', '[e]']"
13762,"['filter', 'id', 'and', 'likelihood', '[e]']"
13763,"['filter', 'id', 'and', 'likelihood', '[e]']"
13764,"['filter', 'id', 'and', 'likelihood', '[e]']"
13765,"['filter', 'id', 'and', 'likelihood', '[e]']"
13766,"['filter', 'id', 'and', 'likelihood', '[e]']"
13767,"['filter', 'id', 'and', 'likelihood', '[e]']"
13768,"['filter', 'age', 'greater', 'than', 'or', 'filter', 'bloodpressure', 'greater', 'than', 'and', 'likelihood', '[e]']"
